,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
204,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise,1649,4.1,Rectangle,Blue,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7,Yes,5.1,240 x 280,42.93,50,Lithium Ion,Android 5.0 and above / iOS10.0 and above,32 GB,No,446721,31754
205,DIZO Watch D 1.8 inch Dynamic display with 550nits brightness (by realme techLife),DIZO Watch D 1.8 inch Dyna,1999,4.1,Rectangle,Black,Watch D 1.8 inch Dynamic display with 550nits brightness,14,No,5.1,240 x 286,45.72,53,Lithium Ion,Android 5.0 and above / iOS10.0 and above,32 GB,No,40279,4807
207,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"Android, iOS",32 GB,No,220415,34430
208,"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch",Noise,1799,4.2,Round,Green,"Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating",7,Yes,5.2,240 x 240,35.05,48,Lithium Polymer,"Android, iOS",32 GB,No,75978,5310
209,Fastrack Revoltt FS1+|2.01'' Biggest UltraVU Display|Industry Best 950 Nits|BT Calling Smartwatch,Fastrack,2499,4.2,Rectangle,Blue,Revoltt FS1+|2.01'' Biggest UltraVU Display|Industry Best 950 Nits|BT Calling,5,Yes,5.2,240 x 286,51.05,48,Lithium Polymer,"Android, iOS",32 GB,No,140500,11675
210,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,56,Lithium Polymer,"Android, iOS",32 GB,No,43772,4441
214,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1499,4.1,Rectangle,Black,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.2,240 x 280,46.99,42,Lithium Ion,"Android, iOS",32 GB,No,183350,14403
217,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"Android, iOS",32 GB,No,220415,34430
220,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android&IOS,32 GB,No,220415,34430
221,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android&IOS,32 GB,No,220415,34430
