,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
341,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android5.0 and above/iOS10.0 and above,1 GB,No,220415,34430
346,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
347,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,48,Lithium Polymer,Android and ios,1 GB,Yes,43772,4441
355,Fire-Boltt Hulk 1.78 inch Amoled Bluetooth Calling with 120 sports modes Smartwatch,Fire-Boltt,1999,4.1,Square,Blue,Hulk 1.78 inch Amoled Bluetooth Calling with 120 sports modes,7,Yes,5.0,368 x 448,45.21,36.8,Lithium Ion,Android and ios,1 GB,No,58888,10348
360,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,Android and ios,1 GB,No,43772,4441
367,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,60,Lithium Polymer,iOS 9 and Above | Android 6 and Above,1 GB,No,43772,4441
368,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1599,4.1,Square,Silver,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,60,Lithium Polymer,iOS 9 and Above | Android 6 and Above,1 GB,No,43772,4441
370,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,1 GB,No,220415,34430
372,Fastrack Revoltt FS1+|2.01'' Biggest UltraVU Display|Industry Best 950 Nits|BT Calling Smartwatch,Fastrack,2499,4.2,Rectangle,Black,Revoltt FS1+|2.01'' Biggest UltraVU Display|Industry Best 950 Nits|BT Calling,5,Yes,5.2,240 x 286,51.05,48,Lithium Polymer,iOS 9 and Above | Android 6 and Above,1 GB,No,140500,11675
376,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
377,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
380,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
381,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
385,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP,1299,4.1,Square,Purple,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",7,Yes,5.0,240 x 280,46.0,40,Yes,"iOS 9 and Above, Android 6 and Above",1 GB,No,69000,7226
386,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",1 GB,No,220415,34430
390,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",1 GB,No,183350,14403
391,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,"iOS 9 and Above, Android 6 and Above",1 GB,No,183350,14403
397,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,Android,256 MB,No,183350,14403
400,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,Android,256 MB,No,43772,4441
407,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android,256 MB,No,220415,34430
410,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,56,Lithium Polymer,Android,256 MB,No,43772,4441
417,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android,256 MB,No,220415,34430
420,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android,256 MB,No,220415,34430
421,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android,256 MB,No,220415,34430
426,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"Android, iOS, Windows",256 MB,No,220415,34430
427,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"Android, iOS, Windows",256 MB,No,220415,34430
431,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,"Android, iOS, Windows",256 MB,No,183350,14403
432,"Boult Drift 2 BT calling, 1.85 HD Screen, Working Crown, Sturdy Metallic Frame, SpO2 Smartwatch",Boult,1299,4.1,Rectangle,Black,"Drift 2 BT calling, 1.85 HD Screen, Working Crown, Sturdy Metallic Frame, SpO2",7,Yes,5.3,240 x 280,46.99,55.4,Lithium Polymer,"Android, iOS, Windows",256 MB,No,183350,14403
436,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,Mobiles,256 MB,No,183350,14403
437,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.2,240 x 280,46.99,42,Lithium Ion,Mobiles,256 MB,No,183350,14403
440,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,Mobiles,256 MB,No,43772,4441
447,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,40,Lithium Polymer,Android & IOS,256 MB,No,43772,4441
449,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Red,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.0,240 x 286,45.72,40,Lithium Ion,Android & IOS,256 MB,No,412996,27254
450,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android & IOS,256 MB,No,220415,34430
457,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android & IOS,256 MB,No,220415,34430
460,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
461,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
466,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
467,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android and ios,1 GB,No,220415,34430
471,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,iOS 9 and Above | Android 6 and Above,1 GB,No,183350,14403
476,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.2,240 x 280,46.99,42,Lithium Ion,iOS 9 and Above | Android 6 and Above,1 GB,No,183350,14403
